Epoch: [0][1050/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 0.9726 (1.3652)	Prec@1 43.750 (34.530)	
Epoch: [0][1060/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.0092 (1.3624)	Prec@1 46.875 (34.619)	
Epoch: [0][1070/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 1.2314 (1.3613)	Prec@1 37.500 (34.673)	
Epoch: [0][1080/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 0.9374 (1.3584)	Prec@1 53.125 (34.777)	
Epoch: [0][1090/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.1676 (1.3559)	Prec@1 28.125 (34.825)	
Epoch: [0][1100/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.0423 (1.3529)	Prec@1 56.250 (34.934)	
Epoch: [0][1110/1563]	 lr:0.01000	Time 0.033 (0.027)	Loss 1.3780 (1.3508)	Prec@1 25.000 (34.980)	
Epoch: [0][1120/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 1.3825 (1.3484)	Prec@1 34.375 (35.069)	
Epoch: [0][1130/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.1927 (1.3456)	Prec@1 43.750 (35.146)	
Epoch: [0][1140/1563]	 lr:0.01000	Time 0.034 (0.027)	Loss 1.1331 (1.3420)	Prec@1 43.750 (35.249)	
Epoch: [0][1150/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 0.8903 (1.3398)	Prec@1 62.500 (35.309)	
Epoch: [0][1160/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.2556 (1.3378)	Prec@1 43.750 (35.368)	
Epoch: [0][1170/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 1.0171 (1.3354)	Prec@1 40.625 (35.448)	
Epoch: [0][1180/1563]	 lr:0.01000	Time 0.033 (0.027)	Loss 0.7123 (1.3334)	Prec@1 62.500 (35.531)	
Epoch: [0][1190/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.2334 (1.3310)	Prec@1 40.625 (35.608)	
Epoch: [0][1200/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.4588 (1.3286)	Prec@1 37.500 (35.697)	
Epoch: [0][1210/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.0537 (1.3257)	Prec@1 53.125 (35.794)	
Epoch: [0][1220/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.0975 (1.3236)	Prec@1 56.250 (35.859)	
Epoch: [0][1230/1563]	 lr:0.01000	Time 0.021 (0.027)	Loss 0.9149 (1.3215)	Prec@1 40.625 (35.898)	
Epoch: [0][1240/1563]	 lr:0.01000	Time 0.033 (0.027)	Loss 0.9779 (1.3185)	Prec@1 31.250 (35.982)	
Epoch: [0][1250/1563]	 lr:0.01000	Time 0.034 (0.027)	Loss 1.1413 (1.3156)	Prec@1 37.500 (36.041)	
Epoch: [0][1260/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 0.8637 (1.3131)	Prec@1 50.000 (36.085)	
Epoch: [0][1270/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.1806 (1.3101)	Prec@1 46.875 (36.180)	
Epoch: [0][1280/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.2942 (1.3077)	Prec@1 31.250 (36.253)	
Epoch: [0][1290/1563]	 lr:0.01000	Time 0.027 (0.027)	Loss 0.9757 (1.3063)	Prec@1 43.750 (36.295)	
Epoch: [0][1300/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 0.8120 (1.3035)	Prec@1 53.125 (36.395)	
Epoch: [0][1310/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 0.8873 (1.3003)	Prec@1 56.250 (36.501)	
Epoch: [0][1320/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 0.9133 (1.2981)	Prec@1 59.375 (36.561)	
Epoch: [0][1330/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.3886 (1.2968)	Prec@1 25.000 (36.591)	
Epoch: [0][1340/1563]	 lr:0.01000	Time 0.034 (0.027)	Loss 1.3054 (1.2953)	Prec@1 34.375 (36.645)	
Epoch: [0][1350/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.2350 (1.2941)	Prec@1 37.500 (36.681)	
Epoch: [0][1360/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.0467 (1.2924)	Prec@1 40.625 (36.729)	
Epoch: [0][1370/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 0.7727 (1.2905)	Prec@1 62.500 (36.825)	
Epoch: [0][1380/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.0940 (1.2883)	Prec@1 53.125 (36.916)	
Epoch: [0][1390/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 0.8453 (1.2867)	Prec@1 65.625 (36.972)	
Epoch: [0][1400/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 0.9027 (1.2847)	Prec@1 53.125 (37.036)	
Epoch: [0][1410/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 0.9754 (1.2824)	Prec@1 43.750 (37.128)	
Epoch: [0][1420/1563]	 lr:0.01000	Time 0.036 (0.027)	Loss 0.9019 (1.2809)	Prec@1 56.250 (37.203)	
Epoch: [0][1430/1563]	 lr:0.01000	Time 0.040 (0.027)	Loss 1.1460 (1.2787)	Prec@1 40.625 (37.288)	
Epoch: [0][1440/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 0.8348 (1.2765)	Prec@1 56.250 (37.370)	
Epoch: [0][1450/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 0.8753 (1.2747)	Prec@1 59.375 (37.425)	
Epoch: [0][1460/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 0.8706 (1.2732)	Prec@1 53.125 (37.468)	
Epoch: [0][1470/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 0.9841 (1.2714)	Prec@1 53.125 (37.555)	
Epoch: [0][1480/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 0.9740 (1.2701)	Prec@1 46.875 (37.610)	
Epoch: [0][1490/1563]	 lr:0.01000	Time 0.027 (0.027)	Loss 1.0528 (1.2684)	Prec@1 50.000 (37.668)	
Epoch: [0][1500/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 1.1251 (1.2666)	Prec@1 46.875 (37.754)	
Epoch: [0][1510/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.1009 (1.2650)	Prec@1 46.875 (37.818)	
Epoch: [0][1520/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.0196 (1.2626)	Prec@1 37.500 (37.862)	
